point_name,point_type,connection_level,irish_grid_easting_m,irish_grid_northing_m,latitude,longitude,max_export_capacity_mw,capacity_basis,time_series_actual_mw_public,semo_dispatch_join_candidate,coordinate_quality,source_date,source_url,jurisdiction,bus,associated_110kv_station,station_nc,wdt_groups,wdt_group_labels,group_source_url,notes
Faughary,Wind farm,Associated 110 kV station per EirGrid controllability list,,,54.2412252,-8.4672217,6,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,4981,Sligo,SLIGO,"(3, 4, 5, 8, 9, 40)",IE-NW-3|IE-NW-4|IE-NW-5|IE-W-1|IE-W-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Flughland,Wind farm,Associated 110 kV station per EirGrid controllability list,,,55.1313547,-7.3684232,9.2,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,4991,Sorne Hill,SORNE HILL,"(1, 3, 4, 5, 6, 9, 40)",IE-NW-1|IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-6|IE-W-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Garracummer,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.5375573,-8.1938573,42.5,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,5271,Cauteen,CAUTEEN,"(8, 9, 11, 29, 31, 40)",IE-W-1|IE-W-2|IE-W-4|IE-SW-11|IE-SE-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Garraneragh,Wind farm,Associated 110 kV station per EirGrid controllability list,,,51.8957884,-8.8921962,9.2,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,3881,Macroom,MACROOM,"(9, 17, 23, 31, 40)",IE-W-2|IE-SW-1|IE-SW-5|IE-SE-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Garvagh 1 (Glebe),Wind farm,Associated 110 kV station per EirGrid controllability list,,,54.1504588,-8.1924874,26,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,2671,Garvagh,GARVAGH,"(3, 4, 5, 7, 8, 9, 40)",IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-7|IE-W-1|IE-W-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Garvagh 2 (Tullynahaw),Wind farm,Associated 110 kV station per EirGrid controllability list,,,54.1504588,-8.1924874,22,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,2671,Garvagh,GARVAGH,"(3, 4, 5, 7, 8, 9, 40)",IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-7|IE-W-1|IE-W-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Gibbet Hill,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.5791650,-6.5358105,15,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,36411,Crory,CRORY,"(30, 33, 40)",IE-SE-1|IE-SE-4|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Glanlee (Midas Gen unit),Wind farm,Associated 110 kV station per EirGrid controllability list,,,51.9254630,-9.3067693,32.45,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,2731,Glanlee,GLANLEE,"(9, 17, 23, 26, 31, 40)",IE-W-2|IE-SW-1|IE-SW-5|IE-SW-8|IE-SE-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Glenough,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.5375573,-8.1938573,32.5,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,5271,Cauteen,CAUTEEN,"(8, 9, 11, 29, 31, 40)",IE-W-1|IE-W-2|IE-W-4|IE-SW-11|IE-SE-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Gortahile,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.8325066,-6.8445771,20,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1901,Carlow,CARLOW,"(31, 40)",IE-SE-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Gneeves,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.0764652,-9.4387403,9.35,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,3301,Knockearagh,KNOCKEARAGH,"(9, 17, 23, 26, 40)",IE-W-2|IE-SW-1|IE-SW-5|IE-SW-8|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Grove Hill,Wind farm,Associated 110 kV station per EirGrid controllability list,,,54.0053368,-6.4237884,17.1,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,2101,Dundalk,DUNDALK,"(40,)",IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Grouse Lodge,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.5436993,-8.9685536,15.42,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,4681,Rathkeale,RATHKEALE,"(8, 9, 17, 18, 40)",IE-W-1|IE-W-2|IE-SW-1|IE-SW-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Hollyford,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.5375573,-8.1938573,9.3,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,5271,Cauteen,CAUTEEN,"(8, 9, 11, 29, 31, 40)",IE-W-1|IE-W-2|IE-W-4|IE-SW-11|IE-SE-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Kealkil,Wind farm,Associated 110 kV station per EirGrid controllability list,,,51.7239932,-9.4296621,8.5,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1281,Ballylickey,BALLYLICKEY,"(9, 17, 22, 23, 26, 31, 40)",IE-W-2|IE-SW-1|IE-SW-4|IE-SW-5|IE-SW-8|IE-SE-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Killaveenoge,Wind farm,Associated 110 kV station per EirGrid controllability list,,,51.7232312,-9.0897487,25,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,2221,Dunmanway,DUNMANWAY,"(9, 17, 23, 26, 31, 40)",IE-W-2|IE-SW-1|IE-SW-5|IE-SW-8|IE-SE-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Kill Hill,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.5172741,-7.8209426,36,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,2391,Kill Hill,KILL HILL,"(8, 9, 16, 29, 31, 40)",IE-W-1|IE-W-2|IE-W-9|IE-SW-11|IE-SE-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Kingsmountain 2 (Dunneil),Wind farm,Associated 110 kV station per EirGrid controllability list,,,54.1111523,-8.6491987,11.05,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1931,Cunghill,CUNGHILL,"(3, 4, 5, 8, 9, 13, 15, 40)",IE-NW-3|IE-NW-4|IE-NW-5|IE-W-1|IE-W-2|IE-W-6|IE-W-8|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Knockacummer,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.2595355,-9.1006362,100,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,3391,Knockacummer,KNOCKACUMMER,"(9, 19, 20, 21, 40)",IE-W-2|IE-SW-3A|IE-SW-3B|IE-SW-3C|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Knockaneden,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.1366250,-9.6927788,9.2,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,4361,Oughtrah,OUGHTRAGH,"(9, 17, 40)",IE-W-2|IE-SW-1|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Knockastanna,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.7049873,-8.6163685,6,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1021,Ardnacrusha,ARDNACRUSHA,"(8, 9, 17, 40)",IE-W-1|IE-W-2|IE-SW-1|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Knockawarriga,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.4245772,-9.4261150,22.5,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,5261,Trien,TRIEN,"(9, 17, 25, 27, 28, 40)",IE-W-2|IE-SW-1|IE-SW-7|IE-SW-9|IE-SW-10|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Knocknagoum,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.3021240,-9.5436255,44.35,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,3251,Reamore,REAMORE,"(9, 17, 40)",IE-W-2|IE-SW-1|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Knocknalour,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.5791650,-6.5358105,9.2,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,36411,Crory,CRORY,"(30, 33, 40)",IE-SE-1|IE-SE-4|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Lacken,Wind farm,Associated 110 kV station per EirGrid controllability list,,,54.1232614,-9.1879038,6.9,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,4041,Moy,MOY,"(3, 4, 8, 9, 13, 14, 15, 40)",IE-NW-3|IE-NW-4|IE-W-1|IE-W-2|IE-W-6|IE-W-7|IE-W-8|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Leitir Guingaid,Wind farm,Associated 110 kV station per EirGrid controllability list,,,53.2741041,-9.0793907,42.8,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,4951,Salthill,SALTHILL,"(8, 9, 10, 40)",IE-W-1|IE-W-2|IE-W-3|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Lisdowney,Wind farm,Associated 110 kV station per EirGrid controllability list,,,53.1760982,-7.1797192,9.2,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,4481,Portlaoise,PORTLAOISE,"(40,)",IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Lisheen Phase 1,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.7513555,-7.6819128,36,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,3621,Lisheen,LISHEEN,"(8, 9, 12, 16, 29, 31, 40)",IE-W-1|IE-W-2|IE-W-5|IE-W-9|IE-SW-11|IE-SE-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Lisheen Phase 2,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.7513555,-7.6819128,24,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,3621,Lisheen,LISHEEN,"(8, 9, 12, 16, 29, 31, 40)",IE-W-1|IE-W-2|IE-W-5|IE-W-9|IE-SW-11|IE-SE-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Loughderryduff,Wind farm,Associated 110 kV station per EirGrid controllability list,,,54.7189369,-8.2634291,7.65,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1341,Binbane,BINBANE,"(1, 3, 4, 5, 6, 9, 40)",IE-NW-1|IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-6|IE-W-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Meenachullalan,Wind farm,Associated 110 kV station per EirGrid controllability list,,,54.7189369,-8.2634291,13.8,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1341,Binbane,BINBANE,"(1, 3, 4, 5, 6, 9, 40)",IE-NW-1|IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-6|IE-W-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Meentycat,Wind farm,Associated 110 kV station per EirGrid controllability list,,,54.8676656,-7.8424460,88.5,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,4071,Drumkeen,MEENTYCAT,"(2, 3, 4, 5, 6, 9, 40)",IE-NW-2|IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-6|IE-W-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Monaincha,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.9185700,-7.7713595,36,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,3101,Ikerrin,IKERRIN,"(8, 9, 16, 31, 40)",IE-W-1|IE-W-2|IE-W-9|IE-SE-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Mountain Lodge,Wind farm,Associated 110 kV station per EirGrid controllability list,,,54.0013256,-7.1060697,31.5,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,4781,Ratrussan,RATRUSSAN,"(34, 40)",IE-NE-1|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Mountlucas,Wind farm,Associated 110 kV station per EirGrid controllability list,,,53.2623370,-7.2520289,84,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,2401,Mountlucas,MOUNT LUCAS,"(32, 40)",IE-SE-3|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Muingnaminanne,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.3021240,-9.5436255,14.8,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,3251,Reamore,REAMORE,"(9, 17, 40)",IE-W-2|IE-SW-1|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Mullananalt,Wind farm,Associated 110 kV station per EirGrid controllability list,,,53.8911239,-6.7310796,7.5,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,3821,Meath Hill,MEATH HILL,"(40,)",IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Mulreavy 1,Wind farm,Associated 110 kV station per EirGrid controllability list,,,54.6644867,-7.9692346,90,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,4091,Mulreavy,MULREAVY,"(3, 4, 5, 6, 9, 40)",IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-6|IE-W-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Mulreavy 2,Wind farm,Associated 110 kV station per EirGrid controllability list,,,54.6644867,-7.9692346,5,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,4091,Mulreavy,MULREAVY,"(3, 4, 5, 6, 9, 40)",IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-6|IE-W-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Raheen Bar 2 (Derrynadivva),Wind farm,Associated 110 kV station per EirGrid controllability list,,,53.8665266,-9.2692746,8,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1661,Castlebar,CASTLEBAR,"(4, 8, 9, 13, 40)",IE-NW-4|IE-W-1|IE-W-2|IE-W-6|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
