point_name,point_type,connection_level,irish_grid_easting_m,irish_grid_northing_m,latitude,longitude,max_export_capacity_mw,time_series_actual_mw_public,semo_dispatch_join_candidate,coordinate_quality,source_date,source_url,notes
Brockaghboy Windfarm,Wind farm,Transmission - 110 kV,280940,410690,54.937243,-6.737928,47.5,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Rathsherry Wind Farm,Wind farm,Distribution - 33 kV,315482,411730,54.939792,-6.19884,21.15,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Finvoy Road Solar Farm,Solar farm,Distribution - 33 kV,296772,413757,54.961968,-6.489973,5.209,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Maghaberry Solar Farm,Solar farm,Distribution - 33 kV,318350,364188,54.512274,-6.173421,20.43,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Elginny Hill Wind Farm,Wind farm,Distribution - 33 kV,314461,411102,54.934388,-6.215012,23.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Laurel Hill Road Solar Park,Solar farm,Distribution - 33 kV,313228,351662,54.40097,-6.25725,8.5,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Ballygarvey Road Solar Park,Solar farm,Distribution - 33 kV,312179,405479,54.88442,-6.252785,6.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Bombardier Energy from Waste Plant,Energy from waste,Distribution - 33 kV,336968,376633,54.619311,-5.880371,9.98,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Pollnalaght (Cornavarrow) Wind Farm,Wind farm,Distribution - 33 kV,234560,379000,54.657951,-7.465262,36.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Slieveglass Wind Farm,Wind farm,Distribution - 33 kV,227595,377848,54.648031,-7.573285,6.9,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Castlecraig Wind Farm,Wind farm,Distribution - 33 kV,226618,375358,54.625717,-7.588645,25.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Teiges Mountain Wind Farm,Wind farm,Distribution - 33 kV,243115,339660,54.303914,-7.338447,11.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Evishagaran Wind Farm,Wind farm,Distribution - 33 kV,274874,410848,54.939608,-6.832506,46.8,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Craiggore Wind Farm,Wind farm,Distribution - 33 kV,276584,417016,54.994741,-6.804186,23.5,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Ballykeel Wind Farm,Wind farm,Distribution - 33 kV,334118,402708,54.854149,-5.912451,16.1,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Kilroot Power Station GT6,Power station unit,Transmission - 275 kV,343832,388835,54.726932,-5.768195,350.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Kilroot Power Station GT7,Power station unit,Transmission - 275 kV,343832,388835,54.726932,-5.768195,350.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Moyle Interconnector - Ballycronan More Converter Station,HVDC interconnector,HVDC / 275 kV NI grid connection,,,54.84278,-5.76972,500,Yes at interconnector/system level; join to SONI system/interconnector flow series,Not a generator unit; use interconnector flow/trade data instead,Mapped converter-station coordinate; SONI confirms Ballycronan More is the NI terminal,2026 reference,https://www.soni.ltd.uk/industry/interconnection,Moyle is a 500 MW HVDC link between Northern Ireland and Scotland.
